;depth_mm;DB_1C_0-20mm;DB_1C_20-200mm;DB_1C_200-1000mm;DB_1D_0-20mm;DB_1D_200-1000mm;DB_1D_200-1000mm;DB_4C_0-20mm;DB_4C_200-1000mm;DB_4C_200-1000mm;DB_4D_0-20mm;DB_4D_200-1000mm;DB_4D_200-1000mm;DB_8C_0-20mm;DB_8C_200-1000mm;DB_8C_200-1000mm;DB_9D_0-20mm;DB_9D_200-1000mm;DB_9D_200-1000mm;NO_2C_0-20mm;NO_2C_200-1000mm;NO_2C_200-1000mm;NO_2D_0-20mm;NO_2D_200-1000mm;NO_2D_200-1000mm;NO_2E_0-20mm;NO_2E_200-1000mm;NO_2E_200-1000mm;NO_6C_0-20mm;NO_6C_200-1000mm;NO_6C_200-1000mm;NO_6D_0-20mm;NO_6D_200-1000mm;NO_6D_200-1000mm;NO_6E_0-20mm;NO_6E_200-1000mm;NO_6E_200-1000mm
240;240;0;0;0;3.1;2.8;0.1;3.6;0.5;0;0.6;0;0;5.8;0;0;18.2;3.6;0;7.8;0.5;0;0.7;0;0;2.4;0.3;0;0.7;0;0;6.9;0.6;0;7;0.4;0
250;250;0.2;0;0;3.8;2.8;0;2.8;0;0;2.3;0;0;6.4;0;0;17.3;3.1;0;8.4;0.6;0;1.2;0;0;4.3;0.2;0;2.2;0;0;6.4;0;0;4.5;0.5;0
260;260;0;0;0;2.2;2.2;0;2.5;0;0;0.6;0;0;3.6;1;0;16.2;3.5;0;5.6;0.5;0;1.3;0;0;3.3;0.6;0;1.7;0;0;5.2;0;0;1.8;0.9;0
270;270;0;0;0;1.9;2;0;1.7;0;0;1;0;0;6.2;0.1;0;18;4.3;0;7;1;0;1.3;0;0;2.9;0.5;0;1.5;0;0;4;0;0;3;0.2;0
280;280;0;0;0;5.5;2.1;0;1.3;0;0;0.8;0;0;3.8;0;0;17;4.6;0;10.1;0.1;0;1.5;0;0;3.4;0.1;0;0.3;0;0;3.1;0;0;2;0;0
290;290;0;0;0;3.2;2.1;0;1.5;0;0;0;0;0;2.5;0;0;17.4;4.3;0;1.1;0.4;0;0;0;0;1.3;0;0;0.5;0;0;5.1;0.1;0;3.2;0;0
300;300;0;0;0;3.1;2.15;0;5.5;0;0;0;0;0;4.1;0;0;22.3;4.35;0;0;0.2;0;0;0;0;1.2;0;0;1;0;0;4.4;0.05;0;0.8;0;0
310;310;0;0;0;2.1;1.1;0;2.3;0;0;1.8;0;0;5.1;0;0;24.2;3.9;0;0;0;0;0;0;0;1;0;0;0;0;0;2.2;0.4;0;0.6;0;0
320;320;0;0;0;4.2;2;0;0.9;0;0;1.4;0;0;4.5;0;0;16.3;4.7;0;0;0;0;0;0;0;2.1;0;0;0;0;0;3.3;0;0;0;0;0
330;330;0;0;0;6.2;1.4;0;1.2;0;0;1;0;0;5.8;0;0;20.2;4.2;0;0;0;0;0;0;0;0;0;0;0.3;0;0;2.4;0;0;0;0;0
340;340;0;0;0;8.6;0.2;0;1.3;0;0;1;0;0;5.4;0;0;16.7;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6;0.6;0;0;0;0
350;350;0;0;0;4.2;0;0;2.6;0;0;1;0;0;5.8;0;0;30;2.2;0;0;0;0;0;0;0;0;0;0;0.2;0;0;2.5;0.7;0;0.1;0;0
360;360;0;0;0;3;0;0;0.8;0;0;1.4;0;0;2.7;0;0;24.9;2.4;0;0;0;0;0;0;0;0;0;0;0.8;0;0;2.7;0.3;0;0;0;0
370;370;0;0;0;4.5;0;0;1.3;0;0;0.7;0;0;4.9;0;0;19.7;2.8;0;0;0;0;0;0;0;0;0;0;0.1;0;0;1.8;0;0;0.1;0;0
380;380;0;0;0;1.5;0;0;0.5;0;0;1.8;0;0;3.9;0;0;22.7;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;3.1;0;0;0;0;0
390;390;0;0;0;0;0;0;0;0;0;1;0;0;2.1;0;0;23.8;3.3;0;0;0;0;0;0;0;0;0;0;0;0;0;3.1;0;0;0;0;0
400;400;0;0;0;0;0;0;0;0;0;0;0;0;1.7;0;0;22.4;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;1.9;0.3;0;0;0;0
410;410;0;0;0;0;0;0;0;0;0;0;0;0;0.9;0;0;22.6;2.4;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;0.3;0;0;0;0
420;420;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;18.9;2.3;0;0;0;0;0;0;0;0;0;0;0;0;0;4.4;0;0;0;0;0
430;430;0;0;0;0;0;0;0;0;0;0;0;0;1.7;0;0;17.9;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;0;0;0;0;0
440;440;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;19.5;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
450;450;0;0;0;0;0;0;0;0;0;0;0;0;5.3;0;0;15.7;2.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
460;460;0;0;0;0;0;0;0;0;0;0;0;0;2.9;0;0;17.3;2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
470;470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.8;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
480;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.5;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
490;490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.3;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
500;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.9;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
